Disease,Detailed
Congenital bilateral absence of vas deferens,"A new patient arriving at primary care may present with a primary complaint of difficulty conceiving with their partner, despite frequent unprotected intercourse. The patient may also report subtle signs of cystic fibrosis, such as mild respiratory or digestive issues, although these tend to be of mild intensity and the patient generally feels fit and healthy. It should be noted that these symptoms may not immediately raise suspicion of a serious underlying condition, as the patient may appear perfectly healthy otherwise."
Ovarian cancer,"The patient presents with a new and unusual feeling of bloating, fullness, and pressure in the abdomen. She also reports experiencing abdominal or lower back pain that is not associated with any known injury. She mentions a recent lack of energy that is affecting her daily activities. Other notable findings include increased frequency of urination, changes in her menstrual cycle, and discomfort during intercourse. She also finds difficulty in eating due to the sudden feeling of fullness. The symptoms have been persistent which led her to seek medical attention."
Primary Sjögren syndrome,"A new patient may present with an array of non-specific symptoms. They may report experiencing persistent dryness of the mouth and eyes, along with potential enlargement of the parotid glands. Complaints of general fatigue, muscular and joint pain might also be a part of their presentation. In some cases, they may describe symptoms consistent with neurological involvement, such as peripheral neuropathies and central nervous system conditions, although these are not always present concurrently. The patient's symptoms may vary greatly, and they may not yet have a clear diagnosis upon arrival."
B-cell chronic lymphocytic leukemia,"A new patient presenting to primary care may report nonspecific symptoms such as persistent fatigue, weakness, unintentional weight loss, and chills. On physical examination, the provider might find painless swellings in the underarm or groin regions, which could be due to swollen lymph nodes. The patient may also describe a sensation of fullness or discomfort in the stomach, potentially indicative of splenomegaly. These symptoms and findings, while non-specific, could be consistent with a range of health conditions and warrant further investigation."
Congenital hydrocephalus,"A new patient may come into primary care displaying a variety of symptoms such as an unusually large head size for their age, a rapidly increasing head circumference, or a bulging soft spot on the top of their skull. Additionally, they may have eyes that seem to be fixed in a downward direction, experience seizures, and exhibit extreme fussiness or irritability. Other signs can include poor feeding habits, excessive sleepiness, vomiting, and decreased muscle tone and strength. They may also have developmental delays, such as trouble eating or delayed growth. It's important to note that these symptoms might not all be present simultaneously and can vary in severity from patient to patient."
Necrotizing enterocolitis,"A new patient with no clear diagnosis upon arrival could present with changes in their respiratory status which might necessitate increased respiratory support, decreased oxygenation, elevated respiratory rate, and increased PCO2. They might also exhibit abdominal distension, a duskiness, higher gastric residual, and an increased count of abdominal signs. In addition, there could be cardiorespiratory symptoms like alterations in heart rate and breathing patterns, which often precede gastrointestinal symptoms."
Preeclampsia,"The patient presents with a series of symptoms that are concerning. She has recently been experiencing new onset high blood pressure, which is a major red flag. Accompanying this, she has symptoms such as protein in her urine, persistent headaches, discomfort in the upper abdominal region, and noticeable swelling in her hands and face. She's also been struggling with sudden weight gain, bouts of nausea and vomiting, shortness of breath, and changes in her vision, including blurriness and seeing spots. She has also observed edema, a rapid increase in weight, pre-hypertension, and low protein levels in her blood. These symptoms are concerning and require further medical investigation."
Asherman syndrome,"A new patient presenting at primary care may express concerns about changes in her menstrual cycle, such as an absence of menstrual periods (amenorrhea) or unusually light or infrequent menstruation (hypomenorrhea). She may also report experiencing cyclic pelvic pain. Despite these changes in her menstrual cycle, some women may report that their menstrual flow and duration appear normal, but without the usual associated pain. An additional complaint may be difficulty conceiving or a history of recurrent spontaneous abortions."
Renal dysplasia,"The patient presents with a decreased appetite, exhibiting unusual thinness despite adequate food intake. There's no clear diagnosis at the time of arrival, but their medical history indicates the patient has been showing these symptoms from an early age. A prenatal ultrasound shows large, unusually bright kidneys which could be indicative of abnormal kidney development. Some cystic spaces are also seen in the kidneys, although this does not conclusively indicate a nonfunctional kidney."
Diffuse large B-cell lymphoma,"A new patient presenting to primary care might report a rapidly growing mass or tumor, potentially alongside systemic symptoms such as unexplained weight loss, recurrent fevers, and night sweats. These symptoms might be coupled with unusual sensations such as chin numbness, particularly if the jawbone is affected. The individual might also have symptoms related to areas outside the lymph nodes, which can vary widely depending on the specific area impacted. Laboratory findings could reveal elevated levels of lactate dehydrogenase, signaling cell damage and potentially indicating a high burden of disease."
Trisomy X,"A new patient arriving in primary care could present a range of indicators consistent with an undiagnosed genetic condition. These may include physical abnormalities such as a smaller-than-average head, being taller than average with particularly long legs, and poor muscle tone, possibly resulting in delayed motor skills development and increased clumsiness. The patient might also exhibit speech and language delays or have a history of learning difficulties, particularly in reading. Behavioral or emotional concerns, including heightened anxiety, less-developed social skills, or symptoms consistent with ADHD, may also be noted. Additionally, any history of kidney problems, seizures, or heart problems could be relevant."
Scleroderma,"A new patient may present with complaints of unusual sensitivity to cold in their fingers or toes, a condition often accompanied by puffiness in these areas. As the condition progresses, they may also experience hardening and thickening of the skin, and in some cases, a curling inward of the fingers. They may also report changes in the skin's texture and appearance, along with swelling and pain. In addition to these skin-related symptoms, the patient may express concerns about problems with their blood vessels, muscles, heart, digestive system, lungs, or kidneys. A notable physical finding could be the change in the contour of their fingerpads, particularly on the ring fingers, where the usually peaked contour is replaced with a hemisphere-like fingertip contour."
Non-immune hydrops fetalis,"A new patient arriving at primary care may present with several indications that could be consistent with a certain condition. The pregnant patient could report an excess of amniotic fluid and an ultrasound may reveal a thick or abnormally large placenta. Further examination of the fetus may present additional findings such as an enlarged spleen, heart, or liver and fluid surrounding the heart or lungs. Severe swelling, especially in the abdominal region of the fetus, could also be observed."
Renal cell carcinoma,"A patient may come in with a variety of non-specific complaints and findings. These could include noticing a change in the color of their urine, potentially due to the presence of blood, which has turned pink, brownish, or red. They may also have detected a lump in their abdomen. In addition, they may report unexplained weight loss and a diminished appetite. Generalized feelings of fatigue could also be a key complaint, possibly tied to anemia. It's important to remember that these symptoms can also be indicative of other conditions, and further investigations may be necessary to establish a clear diagnosis."
Genetic peripheral neuropathy,"A new patient may present to primary care with a variety of symptoms. They may report difficulties with balance, such as stumbling, tripping, or having trouble running or walking. They might also describe unusual sensations in their limbs, such as reduced ability to feel pain, heat, or cold, or they may experience nerve pain, tingling, or prickling sensations, often beginning in the feet and progressing upward. Physical examination could reveal reduced or absent reflexes, changes in foot shape like high arches or hammer toes, muscle loss in the lower legs, or skeletal changes such as scoliosis. In some cases, they might report issues with their autonomic system, such as constipation, difficulty sweating, dizziness, dry eyes or mouth, incontinence, sexual dysfunction, or skin discoloration. These symptoms could have appeared in early adolescence, or even as early as infancy."
Cardiogenic shock,"The new patient presents with a constellation of symptoms, none of which point definitively to a single diagnosis. Despite appearing generally unwell, the patient cannot pinpoint a specific complaint. They report feeling lightheaded and confused, with an accompanying sense of unease and anxiety. Physical examination reveals a rapid but weak pulse, irregular heartbeat, and quick, shallow breathing. The patient's skin is cool and moist to touch. Their pupils are markedly dilated. They mention a persistent, unexplained chest discomfort and a recent decrease in urine output. They also report increased thirst and a persistently dry mouth. The patient's blood sugar is noted to be lower than expected. These symptoms are concerning and warrant immediate further investigation."
Acute sensorineural hearing loss by acute acoustic trauma or sudden deafness or surgery induced acoustic trauma,"A new patient could present to primary care complaining of a sudden or gradually developing decrease in hearing ability, such as sounds becoming muffled or faint. They may report difficulty in hearing normal speech, possibly perceiving it as a whisper. Moreover, the patient might have a history of exposure to loud noises or recent surgery. It's important to note that a significant reduction in hearing might not present until a considerable proportion of the auditory structures in the cochlea are damaged."
AL amyloidosis,"A new patient presenting with no clear diagnosis may provide a myriad of complaints and findings consistent with a systemic condition. They may report muscle weakness or increased signs of muscle lesions, potentially even mixed hyperlipoproteinemia. Physical examination may reveal particular signs such as an unusually enlarged tongue or purple patches around the eyes. The patient might also mention symptoms suggestive of carpal tunnel syndrome. Complaints related to organ dysfunction might be present, such as elevated blood pressure potentially indicating kidney issues, or shortness of breath hinting at heart complications. It's important to consider that these symptoms can be nonspecific and may vary according to the specific organs involved."
Hepatitis delta,"A new patient presenting to primary care may have an unclear diagnosis upon arrival, but symptoms and findings such as persistent fatigue, fever, joint pain, and stomach discomfort may be observed. Additionally, the patient may report feelings of nausea, loss of appetite, and changes in the color of their urine and stool. Notably, they may exhibit a yellowing of the skin and eyes, a condition known as jaundice."
Fetal cytomegalovirus syndrome,"A new patient presenting to primary care without a clear diagnosis may express a combination of ambiguous symptoms and findings. They might be of low birth weight and exhibit signs such as jaundice, which is a yellowing of the skin or whites of the eyes. Further examination may reveal hepatosplenomegaly, an enlarged liver and spleen. A skin rash could be present, along with petechiae, which are small red or purple spots on the skin. The patient may have a smaller than average head size (microcephaly). In some cases, there may be inflammation in the eye (chorioretinitis). However, it's important to note that these symptoms might not always be present in every case."
Romano-Ward syndrome,"The chief complaints of a patient that would be consistent with the early stages of a condition similar to Romano-Ward syndrome might include episodes of fainting particularly during physical exercise or periods of stress, which are not related to epileptic fits but are due to cardiac arrhythmias. Notable findings could include a prolongation of the QT interval on an EKG, indicating a predisposition to life-threatening ventricular arrhythmias. The patient may also report symptoms such as dizziness and slower heart rates, particularly if they are a newborn or child up to 3 years old. However, it should be noted that these symptoms may not be present in all patients, and some may remain symptom-free for years."
Autosomal dominant polycystic kidney disease,"The patient presents with chief complaints that include a persistent ache or discomfort in the abdomen and lower back. They have noticed an increase in the frequency of their urination, sometimes accompanied by blood, raising concerns. The patient also reports an unexplained rise in blood pressure readings from recent health checks. Despite these symptoms, the patient does not have a history of kidney diseases or any clear diagnosis explaining these manifestations."
Congenital pulmonary valvar stenosis,"The patient presents with a general feeling of fatigue, expressing difficulty in performing tasks requiring physical exertion. They also complain of shortness of breath, particularly noticeable during physical activity. Upon clinical examination, an unusual heart sound, suggestive of a heart murmur, is discernible during auscultation. The indications are varied among different patients and these symptoms do not necessarily confirm a particular diagnosis, but they warrant further investigation."
Uveitis,"A new primary care patient may present with chief complaints of blurry vision, floaters, and distortion of central vision. Upon further examination, the practitioner might note mild to moderate anterior chamber inflammation and thin keratic precipitates in the inferior portion of the cornea. Additional findings could include vitreitis, vasculitis in the peripheral retina, intravitreal ""snowballs,"" retinal ""snowbanking,"" optic neuritis and cystoid macular edema. These symptoms and findings can form a pattern which may indicate an underlying inflammatory ocular condition, necessitating further investigation and potential referral to an ophthalmologist."
Congenital hypothyroidism,"The patient, a newborn, presents after a prolonged gestation and is notably larger at birth than expected. The posterior fontanel is significantly large, and the infant experiences respiratory distress, hypothermia, and peripheral cyanosis. The parents report decreased activity, increased sleep, and poor feeding behaviors. The onset of stooling was delayed, and the baby has a distended abdomen and has experienced episodes of vomiting. The baby has also had protracted icterus and some edema. Additionally, the baby has had persistent jaundice and constipation."
Moderate and severe traumatic brain injury,"The patient arrives at the primary care facility with no clear diagnosis. The individual presents with a loss of consciousness, disorientation, and functional impairment. There are also physical symptoms such as headaches, dizziness, nausea, and changes in coordination, balance, appetite, sleep, vision, and hearing. Cognitive and behavioral symptoms are also notable, including fatigue, anxiety, depression, irritability, and problems with memory, concentration, and decision-making."
22q11.2 deletion syndrome,"The patient presents with a variety of complaints that are yet to be diagnosed. These include developmental delays, unexplained seizures, and unilateral weakness. There is also evidence of neuroanatomical abnormalities, such as persistent cavum septi pellucidi and/or cavum vergae, aberrant cortical veins, polymicrogyria or cortical dysplasia, inner ear deformities, hypoplastic internal carotid artery, and a smaller than usual cerebellum. The patient also exhibits symptoms often associated with psychosis, decreased verbal IQ scores, and reduced adaptive social skills. Gastrointestinal issues such as abdominal pain, vomiting, gastroesophageal reflux, and chronic constipation are also prevalent. The patient has also shown signs of negative/disorganized subthreshold syndrome and parkinsonian motor signs."
Primary congenital hypothyroidism,"A new patient arriving at primary care may present a variety of nonspecific complaints and findings. They may report struggling with constipation and have a history of poor feeding. During the physical examination, they might exhibit an unusually low body temperature and a distinctive, hoarse cry. Noticeable physical characteristics could include a large tongue (macroglossia), decreased activity levels (hypoactivity), dry or mottled skin, abdominal distension, and a shorter stature than average for their age group. The patient's face might appear puffy, and there might be an umbilical hernia present. Signs of jaundice could also be evident."
Follicular lymphoma,"In the early stages, a new patient coming to primary care may present with chief complaints of persistent fatigue and recurrent episodes of night sweats or chills that can't be attributed to a known cause. The patient may also report unexplained weight loss and a persistent itchiness without any visible skin problems. Notable findings during clinical examination could include the presence of a fever. It's pertinent to note that the patient may not have any clear symptoms or findings, making early detection often challenging."
Hemorrhagic fever-renal syndrome,"The patient presents with a constellation of symptoms that are non-specific yet concerning. These include fever, general discomfort, a loss of appetite, and signs of renal insufficiency. The patient also complains of flu-like symptoms, muscle pain, and lower back pain. On examination, the patient's eyes appear noticeably red. Laboratory tests reveal low serum albumin levels, acute kidney injury, increased vascular permeability, and coagulation abnormalities. The patient's condition seems to be worsening over time with multiple organ systems, particularly the liver and kidneys, showing signs of potential failure. Furthermore, there are indications of hemorrhagic complications."
Non-papillary transitional cell carcinoma of the bladder,"A new patient arriving at a primary care clinic may present with macroscopic hematuria, which is visible blood in the urine. This is a common early sign of a potential bladder issue. Further diagnostic procedures such as a cystoscopy may be undertaken, which allows for inspection of the bladder lining. If any abnormalities are found, a transurethral resection of the bladder tumor (TURBT) may be performed for definitive diagnosis and treatment."
High-grade dysplasia in patients with Barrett esophagus,"A new patient arriving at a primary care clinic may present with a range of symptoms, including frequent heartburn, chest pain, difficulty swallowing, and episodes of vomiting blood or dark, coffee-ground-like material. The individual could also be passing black, tarry, or bloody stools. If these symptoms are present, it would be essential to perform further diagnostic tests. One key finding that could be revealed by such tests is the presence of abnormal cells which could potentially become cancerous. This would be determined through an examination of tissue samples obtained during an endoscopy."
Aorta coarctation,"A new patient arriving at a primary care facility may present a set of unclear symptoms and findings. They may complain of significant chest discomfort and fatigue and may have difficulties with breathing. Upon further examination, the healthcare provider may identify a cardiac murmur, a notable systolic blood pressure gradient between the arms and legs, and decreased lower-extremity pulses. Hypertension in the upper extremities may also be observed. These symptoms and findings could be indicative of a potentially serious, yet unidentified, congenital condition."
Uremic pruritus,"A new patient arrives for primary care with no clear diagnosis, presenting with chief complaints of daily or near-daily itching, especially bothersome during nighttime. The affected areas are large and discontinuous, but symmetric. The severity of this pruritus varies, being mild in some instances and severe in others. It is also notable that these symptoms do not follow a clear pathogenic mechanism and can vary from individual to individual."
Radiation proctitis,"The patient presents with rectal bleeding, which appears to be their chief complaint. They also mention changes in bowel habits, such as more frequent urges to use the bathroom and watery diarrhea. They've noticed some mucous discharge from their rectum and have been experiencing rectal pain. They also report symptoms such as nausea, vomiting, and stomach cramping. They have also noticed some weight loss. The patient mentioned that these symptoms started a few months ago, with no other clear cause or diagnosis upon their arrival at primary care."
Osteochondritis dissecans,"The patient presents with a vague history of joint pain that has progressively worsened. The discomfort is particularly noticeable after periods of high-impact activities or prolonged use of the affected joint. Accompanying the pain, there might be experiences of swelling and tenderness in the same area. The patient may also report unusual sensations such as a locking or catching feeling when straightening the limb, or even feelings of instability during standing or walking. The physical examination might reveal a decreased range of motion in the impacted joint. Further diagnostic imaging could indicate abnormalities such as potential separation of bone and cartilage or presence of loose fragments."
Isolated anencephaly/exencephaly,"A new patient may present with a set of complaints that indicate a potential neurological disorder, such as developmental delays or abnormalities in physical growth. They may also express concerns about unusual findings from prenatal screenings or ultrasounds, which might indicate potential issues with the formation of the brain and skull. It's important to note that these symptoms and findings would need to be corroborated with further diagnostic tests to confirm any suspicions."
Eosinophilic esophagitis,"A patient arrives in primary care without a clear diagnosis, presenting with complaints that vary depending on age. Infants and young children might exhibit feeding problems, frequent vomiting, and abdominal pain. Adolescents and adults, on the other hand, might report difficulty swallowing and instances of food becoming lodged in the throat. Both children and adults may experience persistent heartburn, resistant to common treatments. These symptoms collectively suggest a possible underlying condition worth further investigation."
Tetralogy of Fallot,"The patient presented with a set of notable findings and complaints. Prenatal imaging showed a large aortic root, a small pulmonary artery, stenosis of the right ventricular outflow tract, and a ventricular septal defect. There was also evidence of an overriding aorta and right ventricular hypertrophy, with additional findings of hydrops fetalis and polyhydramnios. Upon arrival, the patient exhibited cyanosis, reported shortness of breath, and was observed squatting after exertion. A physical examination also revealed a brisk, short, rasping systolic murmur."
Neurofibromatosis type 1,"A patient may arrive at a primary care facility showing a variety of signs and symptoms. They may have several light brown skin spots, known as café-au-lait macules, as well as benign skin tumors. Freckling may be observed in the armpits or groin area. The patient could also exhibit an unusually large head size, or macrocephaly. Behavioral and cognitive indications such as attention-deficit/hyperactivity disorder, learning disabilities, and cognitive impairment may also be present. There might be instances of vision problems due to benign brain tumors affecting the optic nerve, and benign growths on the iris of the eye. They may also have some skeletal abnormalities including scoliosis, tibial pseudarthrosis, and orbital dysplasia. The presence and severity of these symptoms can vary widely among individuals."
Permanent congenital hypothyroidism,"The patient might present with a range of symptoms including increased lethargy and sleep, troubles during feeding, constipation, and prolonged jaundice. In terms of physical examination, the patient might have unusual facial features, larger than normal fontanels, an enlarged tongue, a distended abdomen with an umbilical hernia, and decreased muscle tone. These symptoms and signs may not be very pronounced and can be easily missed if not specifically looked for."
Congenital toxoplasmosis,"A new patient presenting to primary care could exhibit a variety of symptoms and signs. The patient might display signs of cerebral ventricular dilatation, which could potentially be bilateral and symmetrical, and may have rapidly progressed over a short period of time. Other noticeable findings could include intracranial and intrahepatic densities, increased thickness and hyperdensity of the placenta, ascites, and in rare cases, pericardial and pleural effusions. There might be evidence of delayed neuropsychomotor development. More severe clinical signs could include hydrocephalus, eye disease, or intracranial calcifications. However, it's important to note that the patient may not exhibit all of these symptoms and could potentially be asymptomatic."
Placental insufficiency,"The patient may present with concerns about the baby being smaller than expected for the gestational age, or not growing at the expected rate. They may also express worry about a decrease in fetal movement. In addition to these complaints, clinicians may observe abnormal results from tests, such as a Doppler ultrasound, which could indicate problems with blood flow in the umbilical artery. It's important to note, however, that these signs can be subtle and may not be noticed without regular prenatal care."
Fragile X syndrome,"A new patient might present to primary care with a combination of cognitive, social, and physical symptoms. Cognitive challenges might include learning disabilities, noticeable in academic or daily functioning. Concurrently, the patient may exhibit social and emotional difficulties, potentially characterized by aggressive behavior in boys or pronounced shyness in girls. Language and speech issues, particularly in boys, might also be a concern. On physical examination, the patient may have some subtle distinctive features such as a slightly elongated face, prominent ears, and in post-pubertal males, enlarged testicles. It's important to note that these symptoms can vary widely in severity and might not always be present, especially if the underlying genetic alteration is small."
Spinal cord injury,"A patient presenting to primary care without a clear diagnosis may express various complaints and display certain findings that could indicate an underlying neurological issue. Altered mental state or changes in consciousness levels may be reported, along with potential intoxication. The patient may exhibit certain neurological symptoms or signs that cause concern, and they could be suffering from a severe and distracting pain, possibly originating from the chest or a long bone fracture. Furthermore, they may report midline spinal pain or tenderness. Other findings could include severe respiratory compromise and hypotonia in neonates. In some cases, the patient may exhibit signs of spasticity, including spasms, particularly if these symptoms have been developing over the past month."
Sepsis in premature infants,"A new patient, a premature infant, presents to primary care with no clear diagnosis. The chief complaints and notable findings include increased need for respiratory support, prolonged capillary refill, and greyish skin tone. The infant has a central venous catheter in place. Additionally, the infant exhibits episodes of apnea or bradycardia, desaturations, and increased gastric residuals. There are also signs of decreased alertness and activity, difficulty tolerating feedings, poor muscle tone, difficulty in maintaining body temperature, and pale or spotted skin color. There have been instances where the infant's heart rate slows down or the baby stops breathing for brief periods."
Vernal keratoconjunctivitis,"The new patient in question presents with a chief complaint of intense eye itching, along with a heightened sensitivity to light. The patient has also been experiencing a burning sensation in the eyes accompanied by an increase in tear production. Furthermore, the individual has reported a feeling reminiscent of a foreign body in the eye, accompanied by discomfort. Upon examination, notable findings include giant papillae, superficial keratitis, and an observable redness of the eye, indicating possible conjunctival hyperaemia."
Transposition of the great arteries,"The patient, a newborn, presents with a noticeably blue or cyanotic skin tone, particularly evident during episodes of crying or agitation. This bluish discoloration might have been initially overlooked, however, it has become increasingly noticeable over the first month of life. Additionally, the patient shows signs that could be indicative of congestive heart failure, although no clear diagnosis has been made upon arrival at primary care."
Retinitis pigmentosa,"The patient may present with complaints of difficulties seeing in low light conditions, specifically experiencing night blindness. They may also report a gradual reduction in their peripheral vision, akin to seeing through a tunnel. Other notable findings could include altered color perception and changes in their visual field. Some individuals may also have experienced instances of light flashes or headaches. These symptoms can vary widely among individuals and their progression can be either slow or rapid."
Polycythemia vera,"A patient arriving at a primary care facility, with no clear diagnosis, might report a variety of complaints that could suggest an underlying hematologic issue. These complaints may include fatigue, unexplained itching, trouble breathing when lying down, difficulty with concentration, and unintended weight loss. The patient may also describe a sensation of early satiety after eating, alongside occasional bouts of abdominal pain. Visual disturbances, such as blurred or double vision, could be present, as well as episodes of dizziness and generalized weakness. The patient might also note excessive perspiration, even in cool conditions, and a propensity to bruise or bleed easily."
Peripartum cardiomyopathy,"A new patient presents to primary care with fatigue and shortness of breath. She reports swelling in her ankles, feet, and legs, and has been urinating more frequently at night. These symptoms have been increasingly bothersome over the past few weeks. Additionally, she has had an unusual incidence of thromboembolism. On examination, an echocardiogram reveals a decreased ejection fraction of less than 45%, and a fractional shortening of less than 30%. Her left ventricular end-diastolic dimension is greater than 2.7 cm/m2 of her body surface area."
Soft tissue sarcoma,"A new patient might arrive at primary care with chief complaints of a painless lump or mass under the skin, typically noticed on an arm or leg. As the mass grows and exerts pressure on nearby organs, nerves, blood vessels, and muscles, the patient may start experiencing pain and difficulty in breathing. If the mass is in the abdomen, the patient might report abdominal pain and vomiting, and may have observed bloody or black stools. However, these findings are not exclusive to a particular condition and could be indicative of a range of other medical conditions as well."
Idiopathic hypersomnia,"A new patient arrives at the primary care facility presenting with a marked increase in daytime sleepiness that is not alleviated by restful sleep at night. The patient reports a persistent need to sleep during the day, often succumbing to long naps that do not provide the expected rejuvenation. Despite getting what should be sufficient sleep at night, the patient struggles with waking up and often feels disoriented and excessively groggy upon arousal. This pattern has been persistent for at least the past three months."
Primary systemic amyloidosis,"A new patient might report a diverse array of symptoms that seem unrelated at first glance. These could include unexplained heart failure, enlarged liver, and kidney damage manifesting as heavy proteinuria. They might also report nerve damage symptoms, such as weakness, numbness and tingling in fingers and toes, and burning sensations in the feet. Breathing difficulty, skin changes like bruising, purple patches around eyes, thickened skin, hair loss, and gastrointestinal symptoms like diarrhea and constipation could also be part of the patient's complaints. Clinically, heart disease might be evident, and some patients may demonstrate signs of restrictive cardiopathy."
Congenital diaphragmatic hernia,"A new patient coming to primary care may present with several symptoms that warrant further investigation. Notably, they may be experiencing respiratory distress, manifested as rapid or difficult breathing, and possibly a bluish coloration of the skin, indicating a lack of oxygen. In addition to these, the patient may also exhibit a sunken or hollow appearance of the abdomen, known as a scaphoid abdomen. Auscultation may reveal decreased breath sounds on one side of the chest. In some instances, the patient may present with non-specific gastrointestinal complaints. It is important to note that these symptoms can vary widely, and some may not be apparent until later in life."
Partial atrioventricular septal defect,"A new patient may come into primary care presenting with complaints of difficulty breathing and excessive sweating, particularly during physical activity. The patient might also report frequent fatigue and unexplained weight loss or failure to gain weight appropriately for their age. Upon examination, the patient might have signs of frequent lung infections. While these symptoms can be associated with a range of conditions, they could be indicative of a heart defect. However, it's also important to consider the patient's overall health and any potential genetic conditions that could be contributing to these symptoms."
Non-acquired combined pituitary hormone deficiency,"A patient presenting in the early stages of this condition may show signs of growth failure and a lack of muscle development. Their voice may not deepen as expected and their body hair may grow sparsely. For males, they may present with impaired growth of the penis and testes, while females may not have begun menstruation or show signs of breast tissue development. These symptoms can be quite general and having one or a few of them does not necessarily indicate the presence of this specific condition."
Central retinal vein occlusion,"A new patient arriving at primary care might report experiencing a decrease in vision or blurred vision in one eye, without an apparent cause. Upon examination, clinicians might observe retinal hemorrhages, dilation of retinal veins, and cotton wool spots, which are areas of retinal ischemia. The patient's eye might also exhibit a relative afferent pupillary defect, a condition where the pupils respond abnormally to light. It should be noted that the varying combination of these symptoms and findings could hint at the severity of the underlying condition."
