GT,Score
Proximal 16p11.2 microdeletion syndrome,P0
Arrhythmogenic right ventricular cardiomyopathy,P3
Limbal stem cell deficiency,P5
Vulvar intraepithelial neoplasia,P5
Complete atrioventricular septal defect,P5
Brugada syndrome,P1
Cystic fibrosis,P1
Isolated spina bifida,P1
Isolated biliary atresia,P5
Anal fistula,P5
Adenovirus infection in immunocompromised patients,P0
Non-infectious posterior uveitis,P1
Pemphigus vulgaris,P1
Hypoplastic left heart syndrome,P1
Charcot-Marie-Tooth disease type 1,P1
Familial isolated dilated cardiomyopathy,P5
Gastroschisis,P0
Trisomy 18,P5
Recessive X-linked ichthyosis,P5
Acute peripheral arterial occlusion,P5
Hereditary hemorrhagic telangiectasia,P1
Primary membranoproliferative glomerulonephritis,P0
Buerger disease,P1
Tuberculosis,P3
Herpes simplex virus stromal keratitis,P5
Microtia,P1
Rare carcinoma of pancreas,P1
Systemic sclerosis,P1
Hepatocellular carcinoma,P0
Mucopolysaccharidosis type 4A,P1
Young-onset Parkinson disease,P1
Lennox-Gastaut syndrome,P1
Familial cerebral cavernous malformation,P5
Atopic keratoconjunctivitis,P0
Dentinogenesis imperfecta type 2,P1
Dentinogenesis imperfecta,P1
Thyroid ectopia,P0
Progressive supranuclear palsy,P1
Idiopathic intracranial hypertension,P5
Cystinuria,P1
Chronic primary adrenal insufficiency,P1
Holoprosencephaly,P1
Supravalvular aortic stenosis,P5
Hirschsprung disease,P1
Stargardt disease,P1
Bronchopulmonary dysplasia,P0
Pleural empyema,P5
Gastrointestinal stromal tumor,P1
Mucolipidosis type III alpha/beta,P0
Thyroid carcinoma,P1
Triploidy,P0
Von Willebrand disease,P1
Addison disease,P1
Hypermobile Ehlers-Danlos syndrome,P1
Steinert myotonic dystrophy,P5
Rare lymphatic malformation,P0
Stickler syndrome,P1
CD4+/CD56+ hematodermic neoplasm,P1
Small cell lung cancer,P5
Medium chain acyl-CoA dehydrogenase deficiency,P1
Huntington disease,P1
Multiple myeloma,P1
Omphalocele,P1
"Focal, segmental or multifocal dystonia",P5
Idiopathic pulmonary fibrosis,P1
Systemic mastocytosis,P1
Hemophilia A,P1
Neuroblastoma,P1
Acute lymphoblastic leukemia,P5
Mayer-Rokitansky-Küster-Hauser syndrome,P1
Williams syndrome,P1
Alopecia totalis,P1
Mastocytosis,P1
Partial deep dermal and full thickness burns,P0
Acquired aneurysmal subarachnoid hemorrhage,P5
Rett syndrome,P1
Phenylketonuria,P1
Nephroblastoma,P5
Familial or sporadic hemiplegic migraine,P5
Acute myeloid leukemia,P0
Aicardi-Goutières syndrome,P1
Congenital adrenal hyperplasia,P1
Dysbetalipoproteinemia,P0
Catecholaminergic polymorphic ventricular tachycardia,P1
Septo-optic dysplasia spectrum,P0
Dermatofibrosarcoma protuberans,P1
Duane retraction syndrome,P1
Sickle cell anemia,P1
Polymalformative genetic syndrome with increased risk of developing cancer,P5
Aplasia cutis congenita,P1
Duchenne muscular dystrophy,P1
Dravet syndrome,P1
